QRS_duration,RR_interval,PQ_interval,QT_interval,file_name,,,,,,,,,
90.27,767.45,117.19,323.96,78.18,cycle_ecg_b2_b1_0.01110.0096.csv,,,,,,,,
91.14,776.97,114.83,324.46,77.22,cycle_ecg_b2_b1_0.01110.0098.csv,,,,,,,,
91.41,780.91,112.2,325.48,76.83,cycle_ecg_b2_b1_0.01110.0100.csv,,,,,,,,
91.75,784.31,102.71,312.89,76.5,cycle_ecg_b2_b1_0.01110.0101.csv,,,,,,,,
91.73,786.59,108.78,297.44,76.28,cycle_ecg_b2_b1_0.01110.0102.csv,,,,,,,,
93.15,830.8,88.68,327.66,72.22,cycle_ecg_b2_b1_0.01110.0112.csv,,,,,,,,
93.15,830.8,88.68,327.66,72.22,cycle_ecg_b2_b1_0.01110.0112.csv,,,,,,,,
93.15,834.94,86.63,327.94,71.86,cycle_ecg_b2_b1_0.01110.0113.csv,,,,,,,,
93.75,838.72,83.52,328.74,71.54,cycle_ecg_b2_b1_0.01110.0114.csv,,,,,,,,
93.77,842.5,80.96,329.1,71.22,cycle_ecg_b2_b1_0.01110.0115.csv,,,,,,,,
88.6,811.97,108.55,330.79,73.89,cycle_ecg_b2_b1_0.01000.0093.csv,,,,,,,,
87.2,826.28,93.31,325.22,72.61,cycle_ecg_b2_b1_0.01000.0097.csv,,,,,,,,
87.2,826.28,93.31,325.22,72.61,cycle_ecg_b2_b1_0.01000.0097.csv,,,,,,,,
90.34,828.77,109.18,329.46,72.4,cycle_ecg_b2_b1_0.01000.0098.csv,,,,,,,,
90.56,832.82,107.88,329.59,72.04,cycle_ecg_b2_b1_0.01000.0099.csv,,,,,,,,
89.56,836.72,108.37,329.17,71.71,cycle_ecg_b2_b1_0.01000.0100.csv,,,,,,,,
89.67,840.42,106.5,329.4,71.39,cycle_ecg_b2_b1_0.01000.0101.csv,,,,,,,,
91.4,844.18,103.46,330.66,71.08,cycle_ecg_b2_b1_0.01000.0102.csv,,,,,,,,
92.27,848.32,101.21,328.91,70.73,cycle_ecg_b2_b1_0.01000.0103.csv,,,,,,,,
91.11,852.79,100.53,315.44,70.36,cycle_ecg_b2_b1_0.01000.0104.csv,,,,,,,,
91.64,857.26,98.08,302.16,69.99,cycle_ecg_b2_b1_0.01000.0105.csv,,,,,,,,
91.23,861.65,96.77,330.77,69.63,cycle_ecg_b2_b1_0.01000.0106.csv,,,,,,,,
90.81,865.95,95.33,329.24,69.29,cycle_ecg_b2_b1_0.01000.0107.csv,,,,,,,,
91.41,871.74,92.97,331.88,68.83,cycle_ecg_b2_b1_0.01000.0108.csv,,,,,,,,
84.45,876.33,75.18,324.51,68.47,cycle_ecg_b2_b1_0.01000.0109.csv,,,,,,,,
92.34,880.88,86.76,333.72,68.11,cycle_ecg_b2_b1_0.01000.0110.csv,,,,,,,,
92.69,885.59,83.68,324.41,67.75,cycle_ecg_b2_b1_0.01000.0111.csv,,,,,,,,
91.74,890.31,81.32,305.44,67.39,cycle_ecg_b2_b1_0.01000.0112.csv,,,,,,,,
91.28,895.38,78.15,332.76,67.01,cycle_ecg_b2_b1_0.01000.0113.csv,,,,,,,,
92.38,900.14,74.11,335.21,66.66,cycle_ecg_b2_b1_0.01000.0114.csv,,,,,,,,
92.83,904.92,69.96,336.21,66.3,cycle_ecg_b2_b1_0.01000.0115.csv,,,,,,,,
68.14,1118.97,35.86,337.25,53.62,cycle_ecg_b2_b1_0.00820.0114.csv,,,,,,,,
65.33,1127.35,32.54,336.44,53.22,cycle_ecg_b2_b1_0.00820.0115.csv,,,,,,,,
91.37,807.55,104.47,326.52,74.3,cycle_ecg_b2_b1_0.01110.0106.csv,,,,,,,,
90.87,802.24,105.87,326.58,74.79,cycle_ecg_b2_b1_0.01110.0105.csv,,,,,,,,
93.92,850.5,77.01,322.57,70.55,cycle_ecg_b2_b1_0.01110.0116.csv,,,,,,,,
92.05,853.9,75.52,308.71,70.27,cycle_ecg_b2_b1_0.01110.0117.csv,,,,,,,,
92.29,857.05,71.48,298.26,70.01,cycle_ecg_b2_b1_0.01110.0118.csv,,,,,,,,
93.4,860.11,67.79,331.01,69.76,cycle_ecg_b2_b1_0.01110.0119.csv,,,,,,,,
92.62,862.88,64.92,330.69,69.53,cycle_ecg_b2_b1_0.01110.0120.csv,,,,,,,,
93.62,850.52,76.63,321.18,70.55,cycle_ecg_b2_b1_0.011_wt20.90.0116.csv,,,,,,,,
92.51,853.75,75.13,308.68,70.28,cycle_ecg_b2_b1_0.011_wt20.90.0117.csv,,,,,,,,
92.82,857.04,71.1,298.01,70.01,cycle_ecg_b2_b1_0.011_wt20.90.0118.csv,,,,,,,,
92.36,860.16,68.68,329.75,69.75,cycle_ecg_b2_b1_0.011_wt20.90.0119.csv,,,,,,,,
92.82,862.89,65.57,329.2,69.53,cycle_ecg_b2_b1_0.011_wt20.90.0120.csv,,,,,,,,
79.38,1220.4,55.51,354.78,49.16,cycle_ecg_b2_b1_0.00690.0086.csv,,,,,,,,
80.85,1283.27,417,362.81,46.76,cycle_ecg_b2_b1_0.00690.0075.csv,,,,,,,,
76.55,1254.4,427.83,358.12,47.83,cycle_ecg_b2_b1_0.00690.0079.csv,,,,,,,,
74.42,1245.28,432.35,355.99,48.18,cycle_ecg_b2_b1_0.00690.0080.csv,,,,,,,,
74.71,1236.2,428.1,355.72,48.54,cycle_ecg_b2_b1_0.00690.0081.csv,,,,,,,,
64.57,1265.52,37.51,340.7,47.41,cycle_ecg_b2_b1_0.00690.0082.csv,,,,,,,,
70.48,1280.26,52.19,305.23,46.87,cycle_ecg_b2_b1_0.00690.0083.csv,,,,,,,,
74.43,1253.14,55.17,348.94,47.88,cycle_ecg_b2_b1_0.00690.0084.csv,,,,,,,,
77.78,1231.29,55.93,354.28,48.73,cycle_ecg_b2_b1_0.00690.0085.csv,,,,,,,,
79.38,1220.4,55.51,354.78,49.16,cycle_ecg_b2_b1_0.00690.0086.csv,,,,,,,,
79.76,1218.17,54.57,355.6,49.25,cycle_ecg_b2_b1_0.00690.0087.csv,,,,,,,,
79.76,1218.17,54.57,355.6,49.25,cycle_ecg_b2_b1_0.00690.0087.csv,,,,,,,,
78.14,1225.18,51.87,355.12,48.97,cycle_ecg_b2_b1_0.00690.0089.csv,,,,,,,,
79.33,1220.5,53.57,355.59,49.16,cycle_ecg_b2_b1_0.00690.0088.csv,,,,,,,,
81.21,1183.29,53.85,354.22,50.71,cycle_ecg_b2_b1_0.00710.0092.csv,,,,,,,,
80.24,1190.4,52.36,354.41,50.4,cycle_ecg_b2_b1_0.00710.0093.csv,,,,,,,,
61.26,1149.36,27.36,334.55,52.2,cycle_ecg_b2_b1_0.00810.0116.csv,,,,,,,,
61.39,1150.04,26.46,334.02,52.17,cycle_ecg_b2_b1_0.00810.0116.csv,,,,,,,,
77.22,1092.63,47.98,343.54,54.91,cycle_ecg_b2_b1_0.00810.0109.csv,,,,,,,,
85.19,1050.74,60.7,340.37,57.1,cycle_ecg_b2_b1_0.00810.0105.csv,,,,,,,,
86.2,1041.69,64.69,347.06,57.6,cycle_ecg_b2_b1_0.00810.0104.csv,,,,,,,,
85.61,1004.9,70.4,341.35,59.71,cycle_ecg_b2_b1_0.00820.0101.csv,,,,,,,,
85.45,1011.07,75.84,343.56,59.34,cycle_ecg_b2_b1_0.00820.0102.csv,,,,,,,,
86.75,1017.73,71.2,344.1,58.95,cycle_ecg_b2_b1_0.00820.0103.csv,,,,,,,,
85.29,1024.84,70.23,298.71,58.55,cycle_ecg_b2_b1_0.00820.0104.csv,,,,,,,,
84.6,1032.49,62.77,344.23,58.11,cycle_ecg_b2_b1_0.00820.0105.csv,,,,,,,,
85.86,1040.7,53.64,346.42,57.65,cycle_ecg_b2_b1_0.00820.0106.csv,,,,,,,,
84.4,1049.34,59.29,346.84,57.18,cycle_ecg_b2_b1_0.00820.0107.csv,,,,,,,,
84.63,1032.49,62.75,343.72,58.11,cycle_ecg_b3_b1_0.00820.0095.csv,,,,,,,,
85.95,1033.77,60.91,346.92,58.04,cycle_ecg_b3_b1_0.00820.0096.csv,,,,,,,,
86.08,1035.01,62.03,347.21,57.97,cycle_ecg_b3_b1_0.00820.0097.csv,,,,,,,,
86.62,1036.25,62.04,346.27,57.9,cycle_ecg_b3_b1_0.00820.0098.csv,,,,,,,,
85.13,1037.49,63.73,345.27,57.83,cycle_ecg_b3_b1_0.00820.0099.csv,,,,,,,,
85.3,1038.62,62.75,345.56,57.77,cycle_ecg_b3_b1_0.00820.0100.csv,,,,,,,,
84.86,1039.98,62.51,345.43,57.69,cycle_ecg_b3_b1_0.00820.0101.csv,,,,,,,,
84.49,1041.37,62.8,345.33,57.62,cycle_ecg_b3_b1_0.00820.0102.csv,,,,,,,,
86.01,1042.46,60.25,347.35,57.56,cycle_ecg_b3_b1_0.00820.0103.csv,,,,,,,,
85.11,1043.72,60.79,346.5,57.49,cycle_ecg_b3_b1_0.00820.0104.csv,,,,,,,,
84.73,1044.96,60.19,347.43,57.42,cycle_ecg_b3_b1_0.00820.0105.csv,,,,,,,,
86.72,1015.1,75.22,341.95,59.11,cycle_ecg_b3_b1_0.00820.0081.csv,,,,,,,,
86.72,1015.1,75.22,341.95,59.11,cycle_ecg_b3_b1_0.00820.0081.csv,,,,,,,,
86.72,1015.1,75.22,341.95,59.11,cycle_ecg_b3_b1_0.00820.0081.csv,,,,,,,,
85.45,1016.53,74.78,341.62,59.02,cycle_ecg_b3_b1_0.00820.0082.csv,,,,,,,,
76.4,1017.79,58.73,333.25,58.95,cycle_ecg_b3_b1_0.00820.0083.csv,,,,,,,,
77.06,1018.94,59.69,333.22,58.88,cycle_ecg_b3_b1_0.00820.0084.csv,,,,,,,,
79.9,1020.23,57.69,336.97,58.81,cycle_ecg_b3_b1_0.00820.0085.csv,,,,,,,,
87.43,1001.51,77.41,341.65,59.91,cycle_ecg_b3_b1_0.00830.0081.csv,,,,,,,,
87.06,990.09,85.43,338.95,60.6,cycle_ecg_b3_b1_0.00830.0070.csv,,,,,,,,
86.34,995.68,82.83,340.66,60.26,cycle_ecg_b3_b1_0.00830.0071.csv,,,,,,,,
87.04,991.96,84.08,338.72,60.49,cycle_ecg_b3_b1_0.00830.0072.csv,,,,,,,,
85.51,993.16,66.14,336.95,60.41,cycle_ecg_b3_b1_0.00830.0073.csv,,,,,,,,
86.12,994.15,83.45,338.49,60.35,cycle_ecg_b3_b1_0.00830.0074.csv,,,,,,,,
89.06,995.19,80.88,340.29,60.29,cycle_ecg_b3_b1_0.00830.0075.csv,,,,,,,,
87.32,996.24,81.67,339.79,60.23,cycle_ecg_b3_b1_0.00830.0076.csv,,,,,,,,
85.94,997.29,81.47,338.25,60.16,cycle_ecg_b3_b1_0.00830.0077.csv,,,,,,,,
86.6,1000.83,77.82,292.21,59.95,cycle_ecg_b3_b1_0.00830.0078.csv,,,,,,,,
87.04,999.41,79.61,340.04,60.04,cycle_ecg_b3_b1_0.00830.0079.csv,,,,,,,,
90.02,979.92,89.33,337.01,61.23,cycle_ecg_b3_b1_0.00830.0060.csv,,,,,,,,
90.03,980.95,88.11,339.45,61.17,cycle_ecg_b3_b1_0.00830.0061.csv,,,,,,,,
90,981.9,87.31,339.42,61.11,cycle_ecg_b3_b1_0.00830.0062.csv,,,,,,,,
89.67,982.89,87.5,339.77,61.04,cycle_ecg_b3_b1_0.00830.0063.csv,,,,,,,,
89.94,983.9,86.9,340.2,60.98,cycle_ecg_b3_b1_0.00830.0064.csv,,,,,,,,
89.92,984.9,85.84,336.5,60.92,cycle_ecg_b3_b1_0.00830.0065.csv,,,,,,,,
89.41,985.87,86.15,333.64,60.86,cycle_ecg_b3_b1_0.00830.0066.csv,,,,,,,,
91.67,961.55,99.85,333.53,62.4,cycle_ecg_b3_b1_0.00830.0040.csv,,,,,,,,
91.67,961.55,99.85,333.53,62.4,cycle_ecg_b3_b1_0.00830.0040.csv,,,,,,,,
92.03,963.27,98.05,335.37,62.29,cycle_ecg_b3_b1_0.00830.0042.csv,,,,84.210528,963.157914,76.315791,281.578953,62.29508072
92.31,964.13,97.95,334.83,62.23,cycle_ecg_b3_b1_0.00830.0043.csv,,,,,,,,
92.49,965,97.16,335.72,62.18,cycle_ecg_b3_b1_0.00830.0044.csv,,,,,,,,
91.81,966.73,96.19,335.44,62.06,cycle_ecg_b3_b1_0.00830.0046.csv,,,,,,,,
91.36,965.88,96.48,335.88,62.12,cycle_ecg_b3_b1_0.00830.0045.csv,,,,,,,,
